student_id,class_name,attend_full_class,absence_reason,difficult_to_follow,use_lecture_materials,study_suggestion,struggling_courses,dedicate_time,study_goal,study_2h_daily,follow_schedule,group_study_importance,training_feedback
DH52200387,D21CQCN01,Không,Lý do sức khỏe,Không,Không,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Không,Có,Có,Thiếu thực hành
DH52200388,D21CQCN01,Không,Khác (tự do),Không,Có,Hỗ trợ thêm tài liệu tham khảo,Lập trình hướng đối tượng,Có,Nắm vững kiến thức,Không,Có,Có,Không có ý kiến
DH52200395,D21CQCN01,Có,Công việc cá nhân,Có,Có,Cải thiện bài giảng,Khác,Có,Cải thiện điểm,Có,Không,Có,Chương trình học phù hợp
DH52200412,D21CQCN01,Có,Công việc cá nhân,Có,Không,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Có,Cải thiện điểm,Không,Có,Có,Chương trình học phù hợp
DH52200536,D22CQCN01,Có,Công việc cá nhân,Có,Có,Không có ý kiến,Nhập môn lập trình,Có,Cải thiện điểm,Có,Có,Có,Chương trình học phù hợp
DH52200457,D21CQCN01,Không,Khác (tự do),Không,Có,Cải thiện bài giảng,Lập trình hướng đối tượng,Có,Cải thiện điểm,Có,Có,Có,Thiếu thực hành
DH52200445,D21CQCN02,Có,Công việc cá nhân,Có,Có,Không có ý kiến,Khác,Có,Cải thiện điểm,Có,Có,Có,Không có ý kiến
DH52200448,D21CQCN02,Có,Khác (tự do),Không,Có,Hỗ trợ thêm tài liệu tham khảo,Lập trình hướng đối tượng,Có,Nắm vững kiến thức,Không,Có,Có,Thiếu thực hành
DH52200604,D21CQCN02,Có,Lý do sức khỏe,Không,Không,Không có ý kiến,Nhập môn lập trình,Có,Nắm vững kiến thức,Không,Có,Có,Thiếu thực hành
DH52200615,D22CQCN01,Có,Lịch học quá dày đặc,Không,Có,Cải thiện bài giảng,Khác,Có,Nắm vững kiến thức,Không,Có,Có,Chương trình học phù hợp
DH52200680,D21CQCN01,Không,Công việc cá nhân,Không,Không,Tăng số buổi học nhóm,Lập trình hướng đối tượng,Có,Cải thiện điểm,Có,Có,Có,Thiếu thực hành
DH52200685,D21CQCN01,Không,Công việc cá nhân,Có,Có,Không có ý kiến,Cấu trúc dữ liệu,Có,Nắm vững kiến thức,Không,Có,Có,Cần cập nhật công nghệ mới
DH52200695,D21CQCN01,Có,Lý do sức khỏe,Không,Có,Không có ý kiến,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Không,Có,Thiếu thực hành
DH52200700,D22CQCN01,Không,Lịch học quá dày đặc,Không,Có,Cải thiện bài giảng,Nhập môn lập trình,Có,Cải thiện điểm,Không,Có,Có,Cần cập nhật công nghệ mới
DH52200716,D21CQCN02,Có,Khác (tự do),Có,Có,Cải thiện bài giảng,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Thiếu thực hành
DH52200724,D21CQCN02,Có,Lịch học quá dày đặc,Không,Có,Không có ý kiến,Cấu trúc dữ liệu,Có,Qua môn,Có,Có,Có,Không có ý kiến
DH52200765,D21CQCN01,Có,Lý do sức khỏe,Không,Không,Hỗ trợ thêm tài liệu tham khảo,Cấu trúc dữ liệu,Không,Cải thiện điểm,Có,Có,Có,Không có ý kiến
DH52200770,D21CQCN02,Có,Lý do sức khỏe,Không,Có,Không có ý kiến,Kỹ thuật lập trình,Không,Qua môn,Không,Có,Có,Chương trình học phù hợp
DH52200787,D21CQCN02,Có,Lịch học quá dày đặc,Không,Không,Cải thiện bài giảng,Lập trình hướng đối tượng,Có,Cải thiện điểm,Có,Có,Có,Thiếu thực hành
DH52200792,D22CQCN01,Có,Khác (tự do),Không,Có,Tăng số buổi học nhóm,Kỹ thuật lập trình,Có,Cải thiện điểm,Không,Có,Có,Cần cập nhật công nghệ mới
DH52200811,D22CQCN01,Có,Khác (tự do),Có,Không,Tăng số buổi học nhóm,Lập trình hướng đối tượng,Có,Nắm vững kiến thức,Có,Có,Có,Cần cập nhật công nghệ mới
DH52200739,D22CQCN01,Có,Công việc cá nhân,Có,Không,Hỗ trợ thêm tài liệu tham khảo,Cấu trúc dữ liệu,Có,Nắm vững kiến thức,Không,Có,Có,Thiếu thực hành
DH52200751,D22CQCN01,Có,Khác (tự do),Không,Không,Không có ý kiến,Cấu trúc dữ liệu,Có,Nắm vững kiến thức,Không,Có,Có,Cần cập nhật công nghệ mới
DH52200844,D21CQCN01,Có,Lịch học quá dày đặc,Không,Không,Tăng số buổi học nhóm,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Không,Không,Có,Không có ý kiến
DH52200876,D22CQCN01,Có,Lý do sức khỏe,Có,Không,Không có ý kiến,Khác,Không,Cải thiện điểm,Có,Có,Có,Cần cập nhật công nghệ mới
DH52200891,D21CQCN02,Có,Công việc cá nhân,Có,Có,Cải thiện bài giảng,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Chương trình học phù hợp
DH52200893,D21CQCN01,Có,Công việc cá nhân,Không,Có,Tăng số buổi học nhóm,Lập trình hướng đối tượng,Có,Qua môn,Có,Có,Có,Không có ý kiến
DH52200923,D21CQCN02,Không,Lý do sức khỏe,Không,Có,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Có,Qua môn,Không,Có,Có,Không có ý kiến
DH52200964,D21CQCN02,Không,Khác (tự do),Không,Không,Cải thiện bài giảng,Nhập môn lập trình,Có,Cải thiện điểm,Có,Có,Có,Không có ý kiến
DH52201025,D21CQCN02,Có,Lý do sức khỏe,Có,Có,Hỗ trợ thêm tài liệu tham khảo,Lập trình hướng đối tượng,Có,Cải thiện điểm,Có,Có,Có,Thiếu thực hành
DH52201027,D22CQCN01,Có,Khác (tự do),Có,Không,Cải thiện bài giảng,Lập trình hướng đối tượng,Có,Qua môn,Có,Không,Có,Thiếu thực hành
DH52201051,D22CQCN01,Có,Lý do sức khỏe,Có,Có,Tăng số buổi học nhóm,Khác,Có,Qua môn,Có,Có,Có,Không có ý kiến
DH52201092,D21CQCN01,Có,Lịch học quá dày đặc,Không,Có,Hỗ trợ thêm tài liệu tham khảo,Cấu trúc dữ liệu,Có,Qua môn,Không,Có,Có,Thiếu thực hành
DH52201115,D21CQCN01,Có,Khác (tự do),Có,Có,Hỗ trợ thêm tài liệu tham khảo,Lập trình hướng đối tượng,Không,Nắm vững kiến thức,Có,Có,Có,Cần cập nhật công nghệ mới
DH52201141,D22CQCN01,Có,Lịch học quá dày đặc,Không,Có,Cải thiện bài giảng,Cấu trúc dữ liệu,Có,Cải thiện điểm,Không,Có,Có,Thiếu thực hành
DH52201148,D21CQCN02,Có,Công việc cá nhân,Có,Có,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Có,Cải thiện điểm,Có,Có,Có,Thiếu thực hành
DH52201248,D21CQCN01,Có,Lý do sức khỏe,Không,Có,Cải thiện bài giảng,Nhập môn lập trình,Có,Qua môn,Có,Có,Có,Không có ý kiến
DH52201257,D22CQCN01,Không,Công việc cá nhân,Không,Có,Cải thiện bài giảng,Khác,Không,Nắm vững kiến thức,Có,Có,Có,Chương trình học phù hợp
DH52201258,D22CQCN01,Không,Công việc cá nhân,Không,Có,Cải thiện bài giảng,Cấu trúc dữ liệu,Có,Qua môn,Có,Có,Có,Chương trình học phù hợp
DH52201324,D22CQCN01,Có,Công việc cá nhân,Có,Có,Cải thiện bài giảng,Lập trình hướng đối tượng,Có,Qua môn,Có,Có,Không,Chương trình học phù hợp
DH52201334,D21CQCN02,Có,Công việc cá nhân,Có,Có,Tăng số buổi học nhóm,Cấu trúc dữ liệu,Không,Cải thiện điểm,Không,Có,Có,Cần cập nhật công nghệ mới
DH52201373,D22CQCN01,Có,Lý do sức khỏe,Có,Không,Cải thiện bài giảng,Lập trình hướng đối tượng,Không,Qua môn,Có,Có,Có,Thiếu thực hành
DH52201379,D22CQCN01,Không,Công việc cá nhân,Không,Có,Không có ý kiến,Cấu trúc dữ liệu,Có,Qua môn,Không,Không,Có,Chương trình học phù hợp
DH52201390,D22CQCN01,Không,Lý do sức khỏe,Không,Có,Hỗ trợ thêm tài liệu tham khảo,Lập trình hướng đối tượng,Không,Qua môn,Có,Có,Có,Không có ý kiến
DH52201448,D22CQCN01,Có,Lý do sức khỏe,Không,Có,Không có ý kiến,Kỹ thuật lập trình,Có,Qua môn,Có,Không,Có,Chương trình học phù hợp
DH52201449,D21CQCN01,Có,Lịch học quá dày đặc,Không,Có,Tăng số buổi học nhóm,Lập trình hướng đối tượng,Có,Qua môn,Không,Có,Có,Chương trình học phù hợp
DH52201467,D21CQCN01,Có,Khác (tự do),Không,Có,Không có ý kiến,Lập trình hướng đối tượng,Có,Cải thiện điểm,Có,Có,Có,Thiếu thực hành
DH52201434,D22CQCN01,Có,Khác (tự do),Có,Có,Hỗ trợ thêm tài liệu tham khảo,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Thiếu thực hành
DH52201556,D21CQCN02,Có,Lý do sức khỏe,Không,Có,Không có ý kiến,Lập trình hướng đối tượng,Có,Cải thiện điểm,Có,Có,Có,Thiếu thực hành
DH52201605,D21CQCN01,Có,Lịch học quá dày đặc,Không,Có,Tăng số buổi học nhóm,Nhập môn lập trình,Có,Cải thiện điểm,Có,Có,Có,Cần cập nhật công nghệ mới
DH52201669,D22CQCN01,Không,Lý do sức khỏe,Có,Có,Cải thiện bài giảng,Khác,Có,Qua môn,Không,Có,Có,Cần cập nhật công nghệ mới
DH52201742,D21CQCN01,Có,Lý do sức khỏe,Không,Không,Không có ý kiến,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Chương trình học phù hợp
DH52201780,D21CQCN01,Có,Lý do sức khỏe,Có,Không,Tăng số buổi học nhóm,Kỹ thuật lập trình,Có,Cải thiện điểm,Không,Có,Có,Thiếu thực hành
DH52201781,D21CQCN02,Có,Lịch học quá dày đặc,Có,Có,Tăng số buổi học nhóm,Nhập môn lập trình,Có,Qua môn,Không,Có,Có,Chương trình học phù hợp
DH52200832,D22CQCN01,Không,Khác (tự do),Không,Có,Hỗ trợ thêm tài liệu tham khảo,Khác,Có,Nắm vững kiến thức,Có,Có,Có,Không có ý kiến
DH52201766,D22CQCN01,Không,Lịch học quá dày đặc,Có,Có,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Có,Qua môn,Không,Không,Có,Không có ý kiến
DH52200334,D21CQCN02,Có,Công việc cá nhân,Không,Có,Không có ý kiến,Cấu trúc dữ liệu,Có,Cải thiện điểm,Có,Có,Có,Thiếu thực hành
DH52200953,D21CQCN02,Có,Lịch học quá dày đặc,Có,Không,Cải thiện bài giảng,Cấu trúc dữ liệu,Có,Cải thiện điểm,Không,Có,Có,Thiếu thực hành
DH52201125,D22CQCN01,Có,Lịch học quá dày đặc,Có,Có,Tăng số buổi học nhóm,Nhập môn lập trình,Không,Nắm vững kiến thức,Có,Có,Có,Không có ý kiến
DH52201538,D22CQCN01,Có,Lịch học quá dày đặc,Có,Có,Không có ý kiến,Nhập môn lập trình,Có,Cải thiện điểm,Không,Có,Có,Thiếu thực hành
DH52200905,D21CQCN02,Có,Lịch học quá dày đặc,Có,Có,Tăng số buổi học nhóm,Khác,Có,Nắm vững kiến thức,Có,Có,Có,Cần cập nhật công nghệ mới
DH52200438,D21CQCN01,Có,Khác (tự do),Không,Không,Tăng số buổi học nhóm,Khác,Có,Nắm vững kiến thức,Có,Có,Có,Cần cập nhật công nghệ mới
DH52200368,D21CQCN01,Có,Công việc cá nhân,Có,Có,Cải thiện bài giảng,Lập trình hướng đối tượng,Có,Qua môn,Không,Có,Có,Thiếu thực hành
DH52201500,D21CQCN02,Có,Khác (tự do),Không,Có,Cải thiện bài giảng,Khác,Có,Qua môn,Không,Có,Có,Không có ý kiến
DH52200414,D21CQCN01,Có,Khác (tự do),Không,Có,Không có ý kiến,Lập trình hướng đối tượng,Không,Cải thiện điểm,Có,Có,Có,Chương trình học phù hợp
DH52200954,D21CQCN02,Có,Lịch học quá dày đặc,Không,Có,Cải thiện bài giảng,Kỹ thuật lập trình,Có,Cải thiện điểm,Có,Có,Có,Thiếu thực hành
DH52200512,D21CQCN01,Có,Lý do sức khỏe,Không,Có,Cải thiện bài giảng,Nhập môn lập trình,Có,Cải thiện điểm,Không,Không,Có,Thiếu thực hành
DH52200644,D21CQCN01,Có,Lý do sức khỏe,Không,Có,Không có ý kiến,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Không,Có,Có,Chương trình học phù hợp
DH52201111,D22CQCN01,Có,Khác (tự do),Có,Có,Cải thiện bài giảng,Khác,Có,Nắm vững kiến thức,Không,Có,Có,Thiếu thực hành
DH52200818,D22CQCN01,Có,Khác (tự do),Có,Có,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Không,Có,Có,Chương trình học phù hợp
DH52201483,D21CQCN01,Có,Lịch học quá dày đặc,Có,Có,Tăng số buổi học nhóm,Kỹ thuật lập trình,Có,Cải thiện điểm,Không,Có,Có,Không có ý kiến
DH52200327,D21CQCN01,Có,Khác (tự do),Không,Có,Tăng số buổi học nhóm,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Không,Không,Có,Cần cập nhật công nghệ mới
DH52200341,D22CQCN01,Có,Lịch học quá dày đặc,Có,Có,Tăng số buổi học nhóm,Khác,Có,Nắm vững kiến thức,Có,Có,Có,Không có ý kiến
DH52200504,D22CQCN01,Có,Lý do sức khỏe,Không,Có,Tăng số buổi học nhóm,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Cần cập nhật công nghệ mới
DH52201301,D22CQCN01,Có,Lý do sức khỏe,Không,Không,Không có ý kiến,Lập trình hướng đối tượng,Không,Qua môn,Không,Không,Có,Chương trình học phù hợp
DH52200926,D21CQCN02,Không,Công việc cá nhân,Có,Có,Tăng số buổi học nhóm,Khác,Có,Nắm vững kiến thức,Không,Có,Có,Cần cập nhật công nghệ mới
DH52200707,D21CQCN01,Có,Lý do sức khỏe,Không,Có,Tăng số buổi học nhóm,Kỹ thuật lập trình,Có,Qua môn,Có,Có,Có,Không có ý kiến
DH52201621,D22CQCN01,Có,Khác (tự do),Có,Có,Tăng số buổi học nhóm,Khác,Có,Qua môn,Có,Có,Có,Cần cập nhật công nghệ mới
DH52200598,D21CQCN01,Không,Lý do sức khỏe,Có,Có,Tăng số buổi học nhóm,Cấu trúc dữ liệu,Có,Qua môn,Không,Có,Có,Chương trình học phù hợp
DH52200521,D21CQCN02,Có,Lịch học quá dày đặc,Không,Không,Hỗ trợ thêm tài liệu tham khảo,Lập trình hướng đối tượng,Không,Nắm vững kiến thức,Có,Có,Có,Cần cập nhật công nghệ mới
DH52200474,D21CQCN02,Không,Lý do sức khỏe,Không,Có,Tăng số buổi học nhóm,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Có,Không,Có,Thiếu thực hành
DH52201017,D22CQCN01,Có,Công việc cá nhân,Không,Không,Hỗ trợ thêm tài liệu tham khảo,Cấu trúc dữ liệu,Có,Qua môn,Có,Không,Có,Không có ý kiến
DH52200709,D21CQCN02,Có,Lý do sức khỏe,Không,Có,Không có ý kiến,Cấu trúc dữ liệu,Không,Cải thiện điểm,Có,Có,Có,Thiếu thực hành
DH52201277,D21CQCN01,Có,Lịch học quá dày đặc,Có,Có,Cải thiện bài giảng,Khác,Có,Cải thiện điểm,Có,Có,Có,Chương trình học phù hợp
DH52201305,D22CQCN01,Không,Lịch học quá dày đặc,Không,Không,Tăng số buổi học nhóm,Cấu trúc dữ liệu,Không,Cải thiện điểm,Có,Có,Có,Cần cập nhật công nghệ mới
DH52200548,D21CQCN01,Có,Khác (tự do),Không,Không,Cải thiện bài giảng,Lập trình hướng đối tượng,Có,Qua môn,Có,Không,Có,Thiếu thực hành
DH52200842,D21CQCN01,Không,Lý do sức khỏe,Không,Không,Cải thiện bài giảng,Lập trình hướng đối tượng,Có,Cải thiện điểm,Không,Có,Có,Thiếu thực hành
DH52201758,D21CQCN02,Có,Lịch học quá dày đặc,Có,Không,Không có ý kiến,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Cần cập nhật công nghệ mới
DH52201662,D21CQCN02,Có,Công việc cá nhân,Không,Có,Cải thiện bài giảng,Lập trình hướng đối tượng,Có,Qua môn,Không,Có,Có,Cần cập nhật công nghệ mới
DH52200715,D21CQCN02,Có,Khác (tự do),Có,Không,Hỗ trợ thêm tài liệu tham khảo,Cấu trúc dữ liệu,Không,Qua môn,Không,Có,Có,Không có ý kiến
DH52200515,D21CQCN02,Không,Công việc cá nhân,Có,Có,Cải thiện bài giảng,Lập trình hướng đối tượng,Có,Cải thiện điểm,Có,Có,Không,Thiếu thực hành
DH52201670,D21CQCN02,Có,Lý do sức khỏe,Không,Không,Cải thiện bài giảng,Khác,Có,Nắm vững kiến thức,Không,Có,Có,Thiếu thực hành
DH52201671,D22CQCN01,Có,Lý do sức khỏe,Có,Có,Cải thiện bài giảng,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Chương trình học phù hợp
DH52201698,D21CQCN01,Có,Lý do sức khỏe,Không,Không,Tăng số buổi học nhóm,Cấu trúc dữ liệu,Có,Nắm vững kiến thức,Không,Có,Có,Không có ý kiến
DH52201402,D21CQCN01,Có,Khác (tự do),Không,Có,Tăng số buổi học nhóm,Nhập môn lập trình,Có,Cải thiện điểm,Có,Có,Có,Chương trình học phù hợp
DH52201591,D21CQCN01,Có,Lịch học quá dày đặc,Có,Có,Hỗ trợ thêm tài liệu tham khảo,Cấu trúc dữ liệu,Không,Cải thiện điểm,Không,Có,Có,Thiếu thực hành
DH52201573,D21CQCN01,Có,Khác (tự do),Không,Có,Hỗ trợ thêm tài liệu tham khảo,Khác,Có,Qua môn,Không,Không,Không,Chương trình học phù hợp
DH52201295,D21CQCN02,Có,Công việc cá nhân,Không,Không,Tăng số buổi học nhóm,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Thiếu thực hành
DH52200656,D21CQCN01,Có,Khác (tự do),Không,Có,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Thiếu thực hành
DH52200823,D22CQCN01,Có,Công việc cá nhân,Không,Có,Tăng số buổi học nhóm,Cấu trúc dữ liệu,Có,Nắm vững kiến thức,Không,Có,Có,Chương trình học phù hợp
DH52201298,D22CQCN01,Không,Khác (tự do),Không,Có,Không có ý kiến,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Không,Có,Có,Chương trình học phù hợp
DH52201029,D21CQCN01,Có,Lịch học quá dày đặc,Không,Có,Cải thiện bài giảng,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Cần cập nhật công nghệ mới
DH52201395,D21CQCN01,Có,Công việc cá nhân,Không,Không,Cải thiện bài giảng,Kỹ thuật lập trình,Không,Qua môn,Không,Không,Có,Cần cập nhật công nghệ mới
DH52200398,D22CQCN01,Không,Lý do sức khỏe,Có,Có,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Có,Có,Không,Cần cập nhật công nghệ mới
DH52201797,D22CQCN01,Có,Lý do sức khỏe,Không,Không,Tăng số buổi học nhóm,Nhập môn lập trình,Có,Qua môn,Không,Có,Có,Thiếu thực hành
DH52200541,D21CQCN02,Có,Khác (tự do),Có,Có,Tăng số buổi học nhóm,Khác,Có,Cải thiện điểm,Có,Có,Có,Chương trình học phù hợp
DH52201517,D22CQCN01,Có,Lý do sức khỏe,Không,Có,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Không,Qua môn,Không,Không,Có,Không có ý kiến
